created_date,pick_city_name,bad_weather_order,A1,total_submitted,total_delivered,cancelled_quit,cnd,incharge_period,completion_time,peak3,stack,30 days from created_date,A30,%peak3,%stack,%cnd,%g2n,%bw,cancel_by_mex_users
2022-05-26,Hai Phong City,949,402,4985,4235,750,289,1.672450123290742,27.773859524933144,769,1475,2022-04-26,1011.0,0.1542627883650953,0.2958876629889669,0.05797392176529589,0.8495486459378134,0.19037111334002005,461
2022-05-26,Hue City,268,404,6623,5982,641,73,0.3184468606758341,17.89354964598316,0,297,2022-04-26,880.0,0.0,0.04484372640797222,0.011022195379737278,0.9032160652272384,0.04046504605163823,568
2022-05-26,Vung Tau,371,167,3262,2838,424,193,0.4988468894138823,16.97461854460094,222,133,2022-04-26,319.0,0.06805640711220111,0.0407725321888412,0.05916615573267934,0.8700183936235438,0.11373390557939914,231
2022-05-27,Binh Duong,2990,419,7355,5375,1980,1363,1.5916292168494217,25.82055091303002,2962,901,2022-04-27,1475.0,0.4027192386131883,0.12250169952413324,0.18531611148878313,0.7307953772943576,0.4065261726716519,617
2022-05-27,Can Tho City,4342,521,6857,6497,360,20,0.24268574297188752,22.458975147322572,0,172,2022-04-27,1081.0,0.0,0.025083855913664868,0.002916727431821496,0.9474989062272131,0.6332215254484469,340
2022-05-27,Dong Nai,4810,558,10624,7426,3198,2310,1.6820558984910836,28.733261648745522,4533,1803,2022-04-27,1352.0,0.42667545180722893,0.16971009036144577,0.21743222891566266,0.6989834337349398,0.4527484939759036,888
2022-05-27,Hai Phong City,0,398,5256,4357,899,398,1.8519952288006938,30.445305218122087,1093,1529,2022-04-27,1008.0,0.20795281582952815,0.2909056316590563,0.07572298325722983,0.8289573820395738,0.0,501
2022-05-27,Hue City,1257,428,7164,6489,675,66,0.34578803016945825,19.161863318956666,0,366,2022-04-27,881.0,0.0,0.05108877721943048,0.009212730318257957,0.9057788944723618,0.1754606365159129,609
2022-05-27,Vung Tau,3089,160,4466,2994,1472,1087,1.4031263202365862,23.880815827498054,2120,150,2022-04-27,322.0,0.47469771607702643,0.03358710255261979,0.2433945364979848,0.6703985669502911,0.6916703985669503,385
2022-05-28,Binh Duong,1643,438,7187,5845,1342,849,1.4592392209089395,24.586177542421137,1782,1406,2022-04-28,1479.0,0.24794768331710032,0.19563100041742035,0.11812995686656463,0.8132739668846528,0.2286072074579101,493
2022-05-28,Can Tho City,2586,487,6750,6331,419,50,0.3254588924880456,21.07045944383115,181,140,2022-04-28,1080.0,0.026814814814814816,0.02074074074074074,0.007407407407407408,0.9379259259259259,0.3831111111111111,369
2022-05-28,Dong Nai,4446,644,10430,8568,1862,988,1.5403091668531363,27.71965568106828,3260,2114,2022-04-28,1373.0,0.31255992329817833,0.20268456375838925,0.0947267497603068,0.8214765100671141,0.4262703739213806,874
2022-05-28,Hai Phong City,0,381,5676,4624,1052,474,2.1432873189876847,30.07568470994177,1630,1719,2022-04-28,1000.0,0.2871740662438337,0.30285412262156447,0.08350951374207188,0.8146582100070472,0.0,578
2022-05-28,Hue City,304,407,6141,5587,554,73,0.32016541609822646,18.35619933237959,192,235,2022-04-28,880.0,0.03126526624328285,0.038267383162351405,0.011887314769581502,0.909786679693861,0.04950333821853119,481
2022-05-28,Vung Tau,0,172,4552,3369,1183,797,1.2496783044753526,21.650192535545024,1842,151,2022-04-28,325.0,0.4046572934973638,0.03317223198594024,0.1750878734622144,0.7401142355008787,0.0,386
2022-05-29,Binh Duong,1774,388,6774,5651,1123,658,1.29786134429787,24.622336101784764,862,1296,2022-04-29,1481.0,0.12725125479775612,0.1913197519929141,0.09713610865072335,0.8342190729258931,0.26188367286684383,465
2022-05-29,Can Tho City,1576,423,6414,5996,418,32,0.29633560164182327,19.81919082528046,97,96,2022-04-29,1079.0,0.015123168069847209,0.014967259120673527,0.004989086373557842,0.9348300592454006,0.24571250389772373,386
2022-05-29,Dong Nai,7942,551,9905,8114,1791,902,1.6123273238117537,27.839123130506042,2203,1965,2022-04-29,1373.0,0.22241292276627966,0.1983846542150429,0.09106511862695608,0.8191822311963655,0.8018172640080767,889
2022-05-29,Hai Phong City,0,311,6818,4429,2389,1658,3.0344719850031243,31.93993767365022,5295,1664,2022-04-29,998.0,0.776620709885597,0.2440598415957759,0.24317981812848344,0.6496039894397184,0.0,731
2022-05-29,Hue City,0,342,6404,5760,644,93,0.45611504862370195,18.546758616701364,244,327,2022-04-29,876.0,0.038101186758276076,0.05106183635227982,0.014522173641474078,0.8994378513429107,0.0,551
2022-05-29,Vung Tau,0,171,4005,3494,511,207,0.7111446609936865,20.10477279222635,610,260,2022-04-29,326.0,0.1523096129837703,0.06491885143570537,0.051685393258426963,0.8724094881398252,0.0,304
2022-05-30,Binh Duong,7,461,5926,5163,763,380,0.7808604970650681,20.6585620409741,236,662,2022-04-30,1494.0,0.03982450219372258,0.11171110361120486,0.0641241984475194,0.8712453594330071,0.001181235234559568,383
